SMILES,cat_1_id,cat_2_id
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(Cl)CC[C@]4(C)[C@H]3CC[C@]12C,9988,9988
CCCCCCCCCCCCCC(=O)OC1CC[C@]2(C)C3CC[C@]4(C)[C@H](CCC4C3CC=C2C1)[C@H](C)CCCC(C)C,10004,10004
Br.Oc1cc(on1)C1CCNCC1,10024,299959306
Cn1ncc2cc(CN)ccc12,10025,10025
OC(=O)c1cc(Cl)cs1,10027,10027
Cl.Cc1cc(CN)ncc1Br,10029,299959562
CO[C@@H](C)[C@@H](N)C(O)=O,10031,10031
Nc1ccc(Br)c(F)c1[N+]([O-])=O,10033,10033
Cc1ccc(F)c(n1)C#N,10035,10035
Cl.Cc1ccc(F)c(CN)n1,10037,299960074
OC(=O)Cc1cccc(Br)c1F,10039,10039
Nc1c(Br)cccc1C(F)(F)F,10041,10041
CC(C)(C)OC(=O)N1C[C@H]([C@@H](C1)c1cccnc1)C(O)=O,10045,10045
Cc1cc(C)c(C(CC(=NNC(N)=O)c2cccs2)C(C#N)C#N)c(C)c1,10047,10047
Oc1ccc(cc1)\N=c1\[nH]c2ccccc2[nH]\c\1=N/c1ccc(O)cc1,10049,10049
CC(Nc1ccc(Cl)cc1C)C(=O)NN=C(C)c1ccc(Br)cc1,10051,10051
Oc1ncnc(O)c1Cl,12771,12771
Cc1nc2c(Cl)nc(C)nc2o1,12779,12779
CCOC(=O)CCc1c([nH]c(=O)[nH]c1=O)-c1ccccc1,13058,13058
CCOC(=O)CCc1c([nH]c(=S)[nH]c1=O)-c1ccccc1,13060,13060
CCOC(=O)CCc1c(nc(N)[nH]c1=O)-c1ccccc1,13062,13062
Nc1nc(-c2ccccc2)c(CCC(O)=O)c(=O)[nH]1,13064,13064
CCCCOC(=O)Cc1c([nH]c(=O)[nH]c1=O)-c1ccccc1,13066,13066
CCCCOC(=O)Cc1c([nH]c(=S)[nH]c1=O)-c1ccccc1,13068,13068
CCCCOC(=O)Cc1c(nc(N)[nH]c1=O)-c1ccccc1,13070,13070
OC(=O)CCc1c([nH]c(=S)[nH]c1=O)-c1ccccc1,13072,13072
CCCSc1nc(-c2ccccc2)c(Cc2ccccc2)c(=O)[nH]1,13074,13074
CCCCSc1nc(-c2ccccc2)c(Cc2ccccc2)c(=O)[nH]1,13076,13076
CC(C)Sc1nc(-c2ccccc2)c(Cc2ccccc2)c(=O)[nH]1,13078,13078
